Code Article,Libelle Article,Code Descriptif Commercial,Libelle Descriptif Commecial,Ordre,Code Taches,Libelle Tache
EF.EB,Etude de formulation pour enrobé,D00770,"Essais sur bitume (Point de ramollissement,Pénetrabilité à l'aiguille,Densité relative au pycno,Point d'eclair,Perte de masse,Solubilité,Teneur en paraffine,Penetration résiduelle)",2,TD00050,Perte de masse à la chaleur
EF.EB,Etude de formulation pour enrobé,D00770,"Essais sur bitume (Point de ramollissement,Pénetrabilité à l'aiguille,Densité relative au pycno,Point d'eclair,Perte de masse,Solubilité,Teneur en paraffine,Penetration résiduelle)",2,TD00048,Teneur en paraffine
EF.EB,Etude de formulation pour enrobé,D00770,"Essais sur bitume (Point de ramollissement,Pénetrabilité à l'aiguille,Densité relative au pycno,Point d'eclair,Perte de masse,Solubilité,Teneur en paraffine,Penetration résiduelle)",2,TD00042,Ramollissement BA
EF.EB,Etude de formulation pour enrobé,D00770,"Essais sur bitume (Point de ramollissement,Pénetrabilité à l'aiguille,Densité relative au pycno,Point d'eclair,Perte de masse,Solubilité,Teneur en paraffine,Penetration résiduelle)",2,TD00044,Pénétrabilité résiduelle
EF.EB,Etude de formulation pour enrobé,D00770,"Essais sur bitume (Point de ramollissement,Pénetrabilité à l'aiguille,Densité relative au pycno,Point d'eclair,Perte de masse,Solubilité,Teneur en paraffine,Penetration résiduelle)",2,TD00043,Pénétrabilité à l’aiguille 
EF.EB,Etude de formulation pour enrobé,D00769,"Essais sur granulats d'enrobé (Granulométrie,Los Angeles,Micro deval,Proproté,Equivalent de Sable,Masse volumique en vrac,Masse volumique spécifique)",12,T00035,MDE
EF.EB,Etude de formulation pour enrobé,D00769,"Essais sur granulats d'enrobé (Granulométrie,Los Angeles,Micro deval,Proproté,Equivalent de Sable,Masse volumique en vrac,Masse volumique spécifique)",12,T00034,LA 
EF.EB,Etude de formulation pour enrobé,D00769,"Essais sur granulats d'enrobé (Granulométrie,Los Angeles,Micro deval,Proproté,Equivalent de Sable,Masse volumique en vrac,Masse volumique spécifique)",12,TD00410,MV spécifique gr
EF.EB,Etude de formulation pour enrobé,D00769,"Essais sur granulats d'enrobé (Granulométrie,Los Angeles,Micro deval,Proproté,Equivalent de Sable,Masse volumique en vrac,Masse volumique spécifique)",12,TD00412,Propreté gr
EF.EB,Etude de formulation pour enrobé,D00769,"Essais sur granulats d'enrobé (Granulométrie,Los Angeles,Micro deval,Proproté,Equivalent de Sable,Masse volumique en vrac,Masse volumique spécifique)",12,TD00413,ES à 10% 
