CodeArticle,LibelleArticle,CodeDescriptifCommercial,LibelleDescriptifCommecial,Ordre
Av Géot-V,Avis géotechnique^,D00529,Etablissement du rapport de l'Avis Géotechnique en trois exemplaires,3
Av Géot-V,Avis géotechnique^,D00528,Levé précis des coupes lithologiques avec mention de toutes les observations utiles y/c reportage photographique ,3
Barrage.spéc,Essais spéciaux sur Barrage,D00343,Prélevement pour essais spéciaux,1
Barrage.spéc,Essais spéciaux sur Barrage,D00344,Essai au vérin,2
Barrage.spéc,Essais spéciaux sur Barrage,D00345,Dispersivité par la méthode Pinhole test,3
Barrage.spéc,Essais spéciaux sur Barrage,D00346,Dispersivité par la méthode double sédimentométrie,4
Barrage.spéc,Essais spéciaux sur Barrage,D00347,Dispersivité par la méthode cation métallique,5
Barrage.spéc,Essais spéciaux sur Barrage,D00348,"Analyse minéralogique qualitative (diffraction aux rayons X)
",6
Barrage.spéc,Essais spéciaux sur Barrage,D00349,Analyse pétrographique sur lame mince,7
Barrage.spéc,Essais spéciaux sur Barrage,D00350,Determination de la teneur en matières organiques,8
Barrage.spéc,Essais spéciaux sur Barrage,D00351,Essai d'Abrasivité,9
Barrage.spéc,Essais spéciaux sur Barrage,D00352,Contrôle géométrique et dimensionnel des éléments de glissière et poids des glissières ,10
Barrage.spéc,Essais spéciaux sur Barrage,D00353,Contrôle du revêtement des glissières ,11
Barrage.spéc,Essais spéciaux sur Barrage,D00354,Vérification de conformité et réception des appareils d’appuis.,12
Barrage.spéc,Essais spéciaux sur Barrage,D00355,Perméabilité aux gaz,13
Barrage.spéc,Essais spéciaux sur Barrage,D00356,Porosité accessible à l'eau,14
Barrage.spéc,Essais spéciaux sur Barrage,D00357,Rapport d'essais Speciaux,15
Bet.spéc,Essais spéciaux sur béton,D00186,Carottage d’un élément de béton y/c l’installation par point,1
Bet.spéc,Essais spéciaux sur béton,D00548,Auscultation dynamique d’un échantillonnage du béton.,2
Bet.spéc,Essais spéciaux sur béton,D00361,PH du béton,6
Bet.spéc,Essais spéciaux sur béton,D00362,Profondeur de pénétration de l'eau,7
Bet.spéc,Essais spéciaux sur béton,D00363,Mesure de la masse volumique du béton durci,8
Bet.spéc,Essais spéciaux sur béton,D00365,Perméabilité à l’eau sur béton,10
Bet.spéc,Essais spéciaux sur béton,D00366,"Vérification de la composition ,le dosage des constituants",11
Bet.spéc,Essais spéciaux sur béton,D00367,Contrôle des performances mécaniques à la traction,12
Bet.spéc,Essais spéciaux sur béton,D00368,porosité sur béton,13
Bet.spéc,Essais spéciaux sur béton,D00369,Essai de l’alcali-réaction des constituants de la formulation du béton ,14
Bet.spéc,Essais spéciaux sur béton,D00370,Rapport d'essai Speciaux,15
Bit,Essais sur bitumes,D00041,Prélevement d'un échantillon de bitume,1
Bit,Essais sur bitumes,D00042,Essai du point de ramollissement bille et anneau,2
Bit,Essais sur bitumes,D00043,Essai de pénétrabilité à l’aiguille à 25 °C,3
Bit,Essais sur bitumes,D00044,Détermination de l’effet de la chaleur et de l’air sur les produits bitumineux (Pénétrabilité résiduelle),4
Bit,Essais sur bitumes,D00045,Mesure de l’élasticité des bitumes-Ductilité,5
Bit,Essais sur bitumes,D00046,Point d’éclair,6
Bit,Essais sur bitumes,D00047,Densité relative – la méthode du pycnomètre ,7
Bit,Essais sur bitumes,D00048,Teneur en paraffine,8
Bit,Essais sur bitumes,D00049,Solubilité,9
Bit,Essais sur bitumes,D00050,Essai de perte de masse au chauffage à 163°C,10
Bit,Essais sur bitumes,D00051,Retour élastique à 25°C et à 10°C,11
Bit,Essais sur bitumes,D00052,Rapport d'essai Bitume,12
Bois/Allu-1,"Essai AEV sur fenêtre en bois ou aluminium (perméabilité à l'Air, d'étanchéité à l'Eau et de résistance au Vent)",D00156,Perméabilité à l'Air sur fenêtre en bois ou aluminium,2
Bois/Allu-1,"Essai AEV sur fenêtre en bois ou aluminium (perméabilité à l'Air, d'étanchéité à l'Eau et de résistance au Vent)",D00157,Etanchéité à l'Eau sur fenêtre en bois ou aluminium,3
Bois/Allu-1,"Essai AEV sur fenêtre en bois ou aluminium (perméabilité à l'Air, d'étanchéité à l'Eau et de résistance au Vent)",D00158,Résistance au Vent  fenêtre en bois ou aluminium,4
Bois/Allu-1,"Essai AEV sur fenêtre en bois ou aluminium (perméabilité à l'Air, d'étanchéité à l'Eau et de résistance au Vent)",D00159,Rapport d'essai AEV B.allum,5
Bois/Allu-2,Contrôle de la conformité de mise en œuvre de la menuiserie,D00078,Contrôle de la conformité de mise en œuvre de la menuiserie,1
Bois/Allu-2,Contrôle de la conformité de mise en œuvre de la menuiserie,D00079,Rapport d'essai conformité menuiserie,2
Bois/Allu-3,Essai de résistance des portes en Menuiserie bois - aluminium  - métallique et ferronnerie ,D00218,Prélevement des portes ,1
Bois/Allu-3,Essai de résistance des portes en Menuiserie bois - aluminium  - métallique et ferronnerie ,D00219,Essai de résistance des portes en Menuiserie bois - aluminium  - métallique et ferronnerie ,2
Bois/Allu-3,Essai de résistance des portes en Menuiserie bois - aluminium  - métallique et ferronnerie ,D00220,Rapport d'essai RC Porte Menuiserie,3
Bois/Allu-4,"Essai de résistance à l'effraction des grilles, fenêtres et chassis",D00215,"Prélevement des grilles, fenêtres et chassis",1
Bois/Allu-4,"Essai de résistance à l'effraction des grilles, fenêtres et chassis",D00216,"Essai de résistance à l'effraction des grilles , fenêtres et chassis",2
Bois/Allu-4,"Essai de résistance à l'effraction des grilles, fenêtres et chassis",D00217,Rapport d'essai RC Grille,3
Bois/Allu-5,Contrôle de la qualité du bois de la menuiserie ,D00086,Prélevement d'un échantillon de bois,1
Bois/Allu-5,Contrôle de la qualité du bois de la menuiserie ,D00087,Contrôle de la qualité du bois de la menuiserie ,2
Bois/Allu-5,Contrôle de la qualité du bois de la menuiserie ,D00088,Rapport d'essai contrôle qualité menuiserie,3
Bois/Allu-6,Essais sur garde-corps ,D00183,Journé de technicien chargé de mission.,1
Bois/Allu-6,Essais sur garde-corps ,D00388,Essai sur garde corps,2
Bois/Allu-6,Essais sur garde-corps ,D00378,Etablissement du rapport d'essai garde corps en trois exemplaires,3
Bois/Allu-7,Essais et suivi des travaux des structures en bois,D00291,Prélevement et suivi des travaux ,1
Bois/Allu-7,Essais et suivi des travaux des structures en bois,D00292,Essais et suivi des travaux des structures en bois,2
Bois/Allu-7,Essais et suivi des travaux des structures en bois,D00293,Rapport d'essais et suivi des travaux des structures en bois,3
Bord,Essais sur bordure,D00371,Prélevement d'un échantillon de bordure,1
Bord,Essais sur bordure,D00372,Essai de flexion sur bordures de trottoir,2
Bord,Essais sur bordure,D00717,Mesure des caractéristique dimensionnelles ,3
Bord,Essais sur bordure,D00374,Rapport d'essai bordure,4
Boul,Contrôle des boulons,D00089,Prélevement des boulons,1
Boul,Contrôle des boulons,D00090,Contrôle des boulons,2
Boul,Contrôle des boulons,D00091,vérification de la conformité au CPS et identification de la classe de résistance des boulons et des élèments de fixation,3
Boul,Contrôle des boulons,D00092,Analyse chimique boulon,4
Boul,Contrôle des boulons,D00373,Mesure des caractéristiques dimensionnelles ,5
Boul,Contrôle des boulons,D00094,essai de traction (longueur> 40 mm et diamètre> 16mm) par diamètre de boulon et par classe de résistance,6
Boul,Contrôle des boulons,D00707,Essai de résilience (longueur> 65 mm et diamètre> 16mm) par diamètre de boulon et par classe de résistance,7
Boul,Contrôle des boulons,D00095,Rapport d'essai boulons,8
Briq,Essais sur élements de maçonnerie en terre cuite,D00385,Prélevement des éléments de maconnerie en terre cuite,1
Briq,Essais sur élements de maçonnerie en terre cuite,D00333,Essai de résistance à la compression des éléments de maconnerie en terre cuite,2
Briq,Essais sur élements de maçonnerie en terre cuite,D00721,Mesure caractéristiques dimensionnelle,3
Briq,Essais sur élements de maçonnerie en terre cuite,D00386,Essai d'absorption d'eau par capilarité sur des éléments de maconnerie en terre cuite,4
Briq,Essais sur élements de maçonnerie en terre cuite,D00387,Rapport d'essai des éléments de maconnerie en terre cuite,5
Buse.L,Essais sur buses,D00375,Prélevement des buses,1
Buse.L,Essais sur buses,D00254,Essai de résistance à la traction par flexion sur buse,2
Buse.L,Essais sur buses,D00718,Mesure des caractéristique dimensionnelle^,3
Buse.L,Essais sur buses,D00376,Etablissement du rapport d'essai sur buse en trois exemplaires,4
Buse.U,Assistance à l'usine pour essais sur buse,D00377,Assitance à l'usine pour écrasement des buses,1
Buse.U,Assistance à l'usine pour essais sur buse,D00376,Etablissement du rapport d'essai sur buse en trois exemplaires,4
Bét.rc,Essai de résistance à la compression simple sur éprouvette béton,D00186,Carottage d’un élément de béton y/c l’installation par point,1
Bét.rc,Essai de résistance à la compression simple sur éprouvette béton,D00459,Essai de résistance à la compression simple sur carottes prélevées sur béton,2
Bét.rc,Essai de résistance à la compression simple sur éprouvette béton,D00514,Rapport d'essai RC Béton,3
Bét.tr,Essai de traction d’un béton ,D00063,Déplacement de technicien pour contrôle,1
Bét.tr,Essai de traction d’un béton ,D00064,Essai d'affaissement au cône d’Abrams.,2
Bét.tr,Essai de traction d’un béton ,D00065,La confection de six éprouvettes cylindriques H32/16 ,3
Bét.tr,Essai de traction d’un béton ,D00222,Essai de résistance à la traction par flexion du béton,4
Bét.tr,Essai de traction d’un béton ,D00591,Essai de résistance à la traction par fendage du béton,5
Bét.tr,Essai de traction d’un béton ,D00223,Rapport d'essai traction béton ,6
CAB,Etalonnage de la centrale à béton,D00183,Journé de technicien chargé de mission.,1
CAB,Etalonnage de la centrale à béton,D00407,"Etalonnage des bascules des agrégats,du ciment et du conteur d'eau",2
CAB,Etalonnage de la centrale à béton,D00395,Etablissement du rapport d'essai CAB en trois exemplaires,3
CB,Contrôle de béton,D00063,Déplacement de technicien pour contrôle,1
CB,Contrôle de béton,D00064,Essai d'affaissement au cône d’Abrams.,2
CB,Contrôle de béton,D00065,La confection de six éprouvettes cylindriques H32/16 ,3
CB,Contrôle de béton,D00066,La confection de neuf éprouvettes cylindriques H32/16 ,4
CB,Contrôle de béton,D00731,Essai de résistance à la compression de béton 7 et 28j,5
CB,Contrôle de béton,D00243,Rapport de contrôle de béton,6
CB-RB,Contrôle béton RB,DV0002,Descriptif 2,0
CB-RB,Contrôle béton RB,DV0004,Descriptif 4,2
CB-RB,Contrôle béton RB,DV0003,Descriptif 3,4
CB-RB,Contrôle béton RB,DV0001,Descriptif 1,5
CBR,Essai CBR,D00163,Prélevement de matériau pour essai CBR,1
CBR,Essai CBR,D00164,Essai CBR,2
CBR,Essai CBR,D00165,Rapport CBR,3
CC,Contrôle de compacité  ,D00063,Déplacement de technicien pour contrôle,1
CC,Contrôle de compacité  ,D00071,Mesure de la densité au densitomètre à membrane ,2
CC,Contrôle de compacité  ,D00729,Mesure  de la teneur en eau du prélevement,3
CC,Contrôle de compacité  ,D00194,Rapport de contrôle de compacité,4
CC-RB,Contrôle compacité RB,DV0001,Descriptif 1,1
CC-RB,Contrôle compacité RB,DV0002,Descriptif 2,2
CC-RB,Contrôle compacité RB,DV0003,Descriptif 3,3
CC-RB,Contrôle compacité RB,DV0004,Descriptif 4,4
CC-RB,Contrôle compacité RB,DV0005,Descriptif 5,5
CC-V,Contrôle de compacité^,D00063,Déplacement de technicien pour contrôle,1
CC-V,Contrôle de compacité^,D00071,Mesure de la densité au densitomètre à membrane ,2
CC-V,Contrôle de compacité^,D00194,Rapport de contrôle de compacité,3
CC-V,Contrôle de compacité^,D00729,Mesure  de la teneur en eau du prélevement,3
CND,Contrôle non déstructif du méttal,D00100,Contrôle par ultra-sons ( ISO 17640),4
CND,Contrôle non déstructif du méttal,D00101,Contrôle par magnétoscopie (ISO 17638),5
CND,Contrôle non déstructif du méttal,D00102,Contrôle par ressuage (ISO 12706),6
CND,Contrôle non déstructif du méttal,D00103,Contrôle de multiéléments par Phase d’Array,7
CND,Contrôle non déstructif du méttal,D00104,Etablissement du rapport CND en 03 exemplaires,8
CNDA,Contrôle non déstructif des assemblages soudés,D00098,Contrôle dimensionnel des assemblages soudés (ISO 17635),4
CNDA,Contrôle non déstructif des assemblages soudés,D00110,Contrôle non destructif de compacité de réception des assemblages soudés par radiographie (ISO17636-1),5
CNDA,Contrôle non déstructif des assemblages soudés,D00111,Contrôle non destructif de surface des assemblages soudés par magnétoscopie (ISO 17638),6
CNDA,Contrôle non déstructif des assemblages soudés,D00112,Contrôle non destructif de surface des assemblages soudés par courant de Foucault (ISO12718),7
CNDA,Contrôle non déstructif des assemblages soudés,D00096,Contrôle des couples de serrage des boulons,8
CNDA,Contrôle non déstructif des assemblages soudés,D00541,Contrôle non destructif de surface des assemblages soudés par ressuage (ISO 12706),9
CNDA,Contrôle non déstructif des assemblages soudés,D00113,Contrôle visuel des soudures suivants la norme NF-EN-ISO17637,10
CNDA,Contrôle non déstructif des assemblages soudés,D00114,Rapport d'essai CNDA,11
Carr,Essais sur carreaux,D00054,Prélevement des carreaux,1
Carr,Essais sur carreaux,D00380,Essai de flexion sur careaux,2
Carr,Essais sur carreaux,D00381,Essai d'absorption d'eau par capilarité sur carreaux,3
Carr,Essais sur carreaux,D00382,Rapport d'essai carreaux,4
Carr.UPEC,Classement UPEC des carreaux,D00054,Prélevement des carreaux,1
Carr.UPEC,Classement UPEC des carreaux,D00055,Classement UPEC des carreaux,2
Carr.UPEC,Classement UPEC des carreaux,D00056,Rapport d'essai UPEC carreaux,3
Chape,Essais sur chape,D00536,Prélevement et échantillonnage pour essais sur chape,1
Chape,Essais sur chape,D00538,Essai d'identification de sable,2
Chape,Essais sur chape,D00537,Essai de résistance à la compression de la chape,3
Chape,Essais sur chape,D00539,Etablissement du rapport d'essai sur chape en trois exemplaires,4
Cmt.chimic,Essais chimiques sur ciment,D00288,Prélevement de Ciment,1
Cmt.chimic,Essais chimiques sur ciment,D00289,Essais chimiques sur ciment,2
Cmt.chimic,Essais chimiques sur ciment,D00290,Rapport d'essai chimie Ciment,3
Cmt.rc,Essais mécaniques sur ciment,D00288,Prélevement de Ciment,1
Cmt.rc,Essais mécaniques sur ciment,D00294,Essais mécaniques sur ciment,2
Cmt.rc,Essais mécaniques sur ciment,D00295,Rapport d'essai RC ciment,3
